이/가 | (Subject markers) | [i/ga] |  | TOPIK I Level 1
~간이다 | (Used to express that someone does something while doing another action) | [ganida] |  | TOPIK II Level 6
~나다 | (Come out, start to) | [nada] |  | TOPIK II Level 6
~남다 | (To remain, be left over) | [namda] |  | TOPIK II Level 6
~네요 | (Express surprise) | [neyo] |  | TOPIK II Level 6
~다고 | (Saying that) | [dago] |  | TOPIK II Level 6
~다는 | (The fact that) | [daneun] |  | TOPIK II Level 6
~다면서요 | (Said that) | [damyeonseyo] |  | TOPIK II Level 6
~던데 | (Used to) | [deonde] |  | TOPIK II Level 6
~던지 | (Whether) | [deonji] |  | TOPIK II Level 6
~도록 하다 | (To try to, to make sure to) | [dorok hada] |  | TOPIK II Level 6
~든지 | (Whether or) | [deunji] |  | TOPIK II Level 6
~라는 것이다 | (It means that) | [raneun geosida] |  | TOPIK II Level 6
~라도 | (At least, even if) | [rado] |  | TOPIK II Level 6
~러 | (In order to) | [reo] |  | TOPIK II Level 6
~려고 하다 | (Try to) | [ryeogo hada] |  | TOPIK II Level 6
~려는 | (Intending to) | [ryeoneun] |  | TOPIK II Level 6
~로써 | (By means of) | [rossyeo] |  | TOPIK II Level 6
~를 바탕으로 | (Based on) | [reul batageuro] |  | TOPIK II Level 6
~를 통해 | (Through, by means of) | [reul tonghae] |  | TOPIK II Level 6
~만큼 | (As much as) | [mankeum] |  | TOPIK II Level 6
~마저 | (Even) | [majeo] |  | TOPIK II Level 6
~못하다 | (Cannot) | [mothada] |  | TOPIK II Level 6
~바라다 | (Hope to) | [barada] |  | TOPIK II Level 6
~밖에 | (Only, nothing but) | [bakke] |  | TOPIK II Level 6
~본 | (Having experienced) | [bon] |  | TOPIK II Level 6
~부터가 | (Starting from) | [buteoga] |  | TOPIK II Level 6
~뿐이다 | (Only, just) | [ppunida] |  | TOPIK II Level 6
~사이에서 | (Between) | [saieseo] |  | TOPIK II Level 6
~서야 | (Only after) | [seoya] |  | TOPIK II Level 6
~소서 | (Polite way to apologize for an action) | [soseo] |  | TOPIK II Level 6
~않게 | (So as not to) | [anhge] |  | TOPIK II Level 6
~아/어 버리다 | (To completely) | [a/eo beorida] |  | TOPIK II Level 6
~아/어 놓다 | (To have done something in advance) | [a/eo notda] |  | TOPIK II Level 6
~아/어 달라다 | (To ask for) | [a/eo dallada] |  | TOPIK II Level 6
~아/어 대다 | (To do aimlessly) | [a/eo daeda] |  | TOPIK II Level 6
~아/어 보이다 | (To seem, appear) | [a/eo boida] |  | TOPIK II Level 6
~아/어 서는 | (Although) | [a/eo seoneun] |  | TOPIK II Level 6
~아/어야만 | (Only if/when) | [a/eoyaman] |  | TOPIK II Level 6
~아/어지다 | (To become) | [a/eojida] |  | TOPIK II Level 6
~았/었 던 | (Past descriptive) | [at/eot deon] |  | TOPIK II Level 6
~았/었으면 좋겠다 | (Wish something had happened) | [at/eosseumyeon jokgetda] |  | TOPIK II Level 6
